REF_AREA,REF_AREA_LABEL,INDICATOR,INDICATOR_LABEL,URBANISATION,URBANISATION_LABEL,UNIT_MEASURE,UNIT_MEASURE_LABEL,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
BGR,Bulgaria,WB_EWSA_AS_4254,Agricultural water withdrawal as % of total water withdrawal,_T,Total,PT,Percentage,19.321702266,14.832339025,11.276369707,15.957923659,13.625038121,13.605621972,13.585718119,11.276369707,15.813419078,16.276752165,15.760860446,16.444534933,16.612423447,15.087783467,13.516127832,14.722705795,15.951858079,14.75786497,13.34562212,11.453338252,13.101227611,14.082885648,13.345139859
BGR,Bulgaria,WB_EWSA_AS_4550,Water Stress (SDG 6.4.2),_T,Total,PT,Percentage,45.330031784,43.117747062,48.700569148,48.12861261,47.556656072,46.984699534,46.412742997,45.840786459,47.4905758,45.23837682,44.053514672,47.194914628,42.23963338,40.416882253,39.736861557,41.609875083,42.05041023,41.821272821,40.099046493,40.076871905,36.728509129,38.52465075,40.235300924
BGR,Bulgaria,WB_EWSA_JMP_DW_PI,Total water supply coverage by piped improved facilities (%),RUR,Rural area,PT_POP,Percentage of population,91.31712410456625,91.74198362795744,92.16684315134864,92.59170267473984,93.01656219813106,93.44142172152226,93.86628124491348,94.29114076830469,94.71600029169588,95.14085981508708,95.56571933847827,95.9905788618695,96.4154383852607,96.8402979086519,97.26515743204313,97.69001695543432,97.98398178671738,97.87069775476157,97.75741372280572,97.64412969084988,97.53084565889404,97.4175616269382,97.30427759498238
BGR,Bulgaria,WB_EWSA_JMP_DW_PI,Total water supply coverage by piped improved facilities (%),URB,Urban area,PT_POP,Percentage of population,98.3544512906725,98.4374669796824,98.5204826686923,98.60349835770216,98.68651404671206,98.76952973572192,98.85254542473184,98.9355611137417,99.0185768027516,99.10159249176148,99.18460818077136,99.26762386978125,99.35063955879112,99.433655247801,99.5166709368109,99.59968662582077,99.66505546694948,99.65534264617978,99.64562982541004,99.63591700464036,99.62620418387064,99.61649136310092,99.60677854233124
BGR,Bulgaria,WB_EWSA_JMP_DW_PI,Total water supply coverage by piped improved facilities (%),_T,Total,PT_POP,Percentage of population,96.16577115512106,96.37297995336316,96.58414842324028,96.79268559933458,96.99873849325012,97.20221272870828,97.40313670247558,97.60158954758668,97.79758973328605,97.99112332515344,98.18224771476358,98.37096040486794,98.55739807319652,98.74156420106767,98.92341782699764,99.10298058292447,99.2335067314028,99.20327222095985,99.1737272552471,99.14487800030096,99.1167359557668,99.08929849227432,99.06253278811856
BIH,Bosnia and Herzegovina,WB_EWSA_AS_4190,Total renewable water resources per capita,_T,Total,M3_IH_YR,Cubic meters per inhabitant per year,9014.919330896,8972.498216267,8954.150451695,8974.462986084,9055.812056401,9154.171629245,9229.015433867,9343.642734981,9499.577458795,9665.46161987,9838.71847937,10021.9199433,10217.669047247,10385.340441153,10519.438660312,10657.826638939,10797.572014766,10937.147277,11071.744906997,11208.976267758,11365.878541494,11556.571575087,11701.190900405
BIH,Bosnia and Herzegovina,WB_EWSA_AS_4550,Water Stress (SDG 6.4.2),_T,Total,PT,Percentage,2.468791501,2.480743692,2.493359894,2.505976096,2.516600266,2.514608234,2.525896414,2.586985392,2.602257636,2.854581673,2.891102258,2.812749004,2.906374502,2.8937583,2.738379814,2.778884462,2.786188579,2.662018592,2.071713147,2.028552457,2.000531208,2.03187251,2.071713147
BIH,Bosnia and Herzegovina,WB_EWSA_JMP_DW_PI,Total water supply coverage by piped improved facilities (%),RUR,Rural area,PT_POP,Percentage of population,76.62540964103846,77.78326822565532,78.94112681027218,80.09898539488904,81.2568439795059,82.41470256412276,83.57256114873962,84.73041973335648,85.88827831797335,87.0461369025902,88.20399548720707,89.36185407182393,90.5197126564408,91.67757124105763,92.83542982567452,92.83542982567452,92.83542982567452,92.83542982567452,92.83542982567452,,,,
BIH,Bosnia and Herzegovina,WB_EWSA_JMP_DW_PI,Total water supply coverage by piped improved facilities (%),URB,Urban area,PT_POP,Percentage of population,96.22576992488844,96.32716904143842,96.42856815798837,96.52996727453834,96.63136639108828,96.73276550763822,96.8341646241882,96.93556374073812,97.0369628572881,97.13836197383804,97.239761090388,97.34116020693796,97.4425593234879,97.54395844003788,97.6453575565878,97.6453575565878,97.6453575565878,97.6453575565878,97.6453575565878,,,,
BIH,Bosnia and Herzegovina,WB_EWSA_JMP_DW_PI,Total water supply coverage by piped improved facilities (%),_T,Total,PT_POP,Percentage of population,84.93282545693752,85.70114273451499,86.46317307626582,87.21852900527853,87.96751515979292,88.7096362152495,89.4450633298095,90.17403539361308,90.89626676117472,91.61175567115788,92.3205099269794,93.02260228487091,93.71799917230912,94.40655801947092,95.088399771831,95.10441627849362,95.12101358437816,95.13823359980478,95.15597686560686,,,,
